"№","Приоритет","Команда / Агент / Skill / Фишка","Тип","Что делает","Когда стрелять","Как вызвать","Подводный камень"
"12","P1 STRATEGIC","roman (subagent)","Agent","CFO. Unit-эк, ROMI sanity check, cash flow forecast.","Любой финансовый разбор, бюджет approval, кризис, цены.","Use roman to check unit economics","Блокирует deliver, если нет cohort breakdown + downside scenario."
"13","P1 STRATEGIC","phoenix-eval (skill)","Skill","Engine под /feniks. 25 checkpoints × 5 criteria. Auto-invoke на «review / проверь / аудит».","Любой адверсариал-аудит. Загружается под капотом ФЕНИКС.","Auto-invoke на триггер","Document-Type checklists (Strategy, КП, Landing, PPTX) дополняют 25 generic, не заменяют."
"14","P1 STRATEGIC","protocol-9-runner (skill)","Skill","Engine под /reality-audit. Hard rules H1-H10. Авто на 27 триггерных слов.","Reality Audit, P9 проверка, теггирование цифр.","Auto-invoke на триггер","5 вопросов Q1-Q5 можно запустить отдельно как «pre-flight check» без полного аудита."
"15","P1 STRATEGIC","brand (skill)","Skill","Voice DNA + design system для 5 брендов (GENGLASS, VALONTI, GENTERO, Metal-GM, GLASS-MEMORY). Auto-invoke на ANY visual deliverable.","Лендинги, КП, презентации, дашборды, баннеры, любой artifact с дизайном.","Auto-invoke на «design / brand / стиль / оформление»","Routes к references/brand-colors.md (palette) + product-facts.md (цифры по брендам)."
"16","P2 PRODUCTION","content-factory (skill)","Skill","3-stage workflow для marketing/sales контента: Context Capture → Production → Shadow Test.","КП, лендинги, скрипты продаж, посты, рассылки, дилерские материалы, карточки маркетплейсов.","Auto-invoke на «КП / лендинг / скрипт / пост / рассылка»","Enforces FENIX гейт автоматически. Boundary с content-expert: factory = sales-flow, expert = long-form."
"17","P2 PRODUCTION","content-expert (skill)","Skill","Long-form engine: статьи, гайды, pillar pages, product descriptions, FAQ-хабы, кейсы.","Статьи >800 слов, экспертный контент, SEO-кластеры, deep dive.","Auto-invoke на «статья / гайд / блог / pillar / deep dive»","Требует 3+ цифр на каждый H2-блок. Mandatory FENIX перед deliver."
"18","P2 PRODUCTION","humanizer-ru (skill)","Skill","Снос 51 AI-паттерна на русском: канцелярит, copula, significance inflation, promo, structural slop.","Любой русскоязычный deliverable перед publish (>100 слов).","Auto-invoke перед publish","Triple-pass для catch unicode-dash вариантов (U+2013/2014/2015/2212). Никогда em dash."
"19","P2 PRODUCTION","maks (subagent)","Agent","Long-form copywriter. Запускает humanizer-ru каждый раз.","Статьи, лендинги, social long-form, email-цепочки, PR-питчи.","Use maks to write <article>","Не путать с marco (стратег). Maks пишет, marco направляет."
"20","P2 PRODUCTION","viktor (subagent)","Agent","Скрипты продаж, отработка возражений, телефонные сценарии.","Скрипт холодного звонка, ответ на возражение, тренировочный диалог.","Use viktor to draft objection response","Enforces глоссарий v2.1: палитра ≠ коллекция, линия ≠ коллекция."
"21","P2 PRODUCTION","emma (subagent)","Agent","Packaging, voice-адаптация под бренд. Объясняет «зачем», не «что».","Value proposition, FAQ, onboarding-флоу, перевод фич в выгоды.","Use emma to articulate value prop","Best для перевода технического описания в клиентскую речь."
"22","P2 PRODUCTION","glossary-v21 (skill)","Skill","Проверка терминологии: палитра / линия / коллекция / комплект / артикул / Scena / Drop / Core / Bespoke / IS / MTO.","Любой текст с бренд-терминами.","Auto-invoke на бренд-термин","Скрытная фишка: bridging phrases для менеджеров. Переводит client old-speak без direct correction («это не коллекция NERO, а палитра NERO» = плохо; «у вас NERO с матовой фурнитурой?» = хорошо)."
"23","P2 PRODUCTION","cross-sell (skill)","Skill","16 категорий комплементарности + palette-bundle discipline. Запрещает mix палитр внутри комплекта.","Допродажа, средний чек, комплект (Прихожая / Кабинет / Зона отдыха), follow-up email.","Auto-invoke на «допродажа / комплект / cross-sell»","Palette-mix = блок (см. глоссарий §5). Bundle строится по одной палитре или контрасту."
"24","P2 PRODUCTION","encyclopedia-router (skill)","Skill","Fact-checker. Маршрутизирует к Project Knowledge до ответа на факт-вопрос.","Любой вопрос про регламент, процесс, цены, команду, материалы, методологию продаж.","Use до ответа на factual вопрос","Ловит классические ошибки: GLASS-MEMORY 2016 (не 2015), Crystalvision (не OptiWhite), прогрессивная скидка (не flat 30%)."
"25","P3 SPECIALIZED","/aio-recon","Slash","AI Visibility recon, 8 шагов. Опрашивает 4 системы (ChatGPT + Perplexity + YandexGPT + Gemini), верифицирует URL, строит competitor matrix, генерит HTML team-landing.","Quarterly AI Visibility снимок. Запуск новой палитры / линии. Реакция на изменение цитирования.","/aio-recon <brand>","Без brand аргумента спрашивает интерактивно. 8 шагов = 2-3 часа работы."
"26","P3 SPECIALIZED","/seo-pipeline-manual","Slash","Manual SEO без Keys.so / n8n. Orchestrates 5 skills (content-expert + humanizer-ru + brand + geo-aeo + cross-sell).","Когда нет доступа к Keys.so / n8n. Ручной harvest + кластеризация + content plan + Content Forge.","/seo-pipeline-manual <topic>","«Manual» = ручной семантический harvest, 2-4 часа per topic."
"27","P3 SPECIALIZED","semyon (subagent)","Agent","SEO/AEO/GEO + browser-use для live аудита genglass.ru.","Аудит сайта, schema.org оптимизация, 301-редиректы, AI Citation Rate проверка.","Use semyon to audit <url>","WebFetch активен, реально ходит на сайт. Не путать с geo-aeo skill (методология) и /aio-recon (recon)."
"28","P3 SPECIALIZED","geo-aeo (skill)","Skill","AI Citation optimization. 7-point checklist: Entity Markup, FAQ structure, citation-ready блоки.","Контент, который должен попасть в AI-цитаты (ChatGPT, Perplexity).","Auto-invoke при крафте контента под AI-search","Цитируемость растёт через структуру, не через объём. 3 короткие цитаты лучше одного длинного абзаца."
"29","P3 SPECIALIZED","competitor-intel (skill)","Skill","Verified Q2-2026 snapshot по 11 конкурентам: Archpole, Miralls, Loft Designe, LOFFI, Cattelan, AMGRADES, Moonzana, ПРОМСТЕКЛО, Nayada, Cassina, MR.DOORS.","Любое упоминание конкурента в тексте, ответ на возражение «у них дешевле».","Auto-invoke на имя конкурента","Под каждого конкурента есть objection-handling script. Snapshot Q2-2026, обновлять quarterly."
"30","P3 SPECIALIZED","boris (subagent)","Agent","CRM / 1С / Bitrix24 интеграция. Owner Protocol 13 (A2A wire format).","Дизайн CRM-полей, миграции, automation flows, A2A JSON между агентами.","Use boris to design <field schema>","Без него A2A-сообщения могут не пройти schemas/a2a-message.json валидацию."
"31","P3 SPECIALIZED","trener (subagent)","Agent","L&D, ADDIE, Kirkpatrick. Каждый модуль обязан менять BEHAVIOR, не просто знание.","Тренинги менеджеров, дилерский enablement, onboarding, sales playbook.","Use trener to design <training>","Если модуль не имеет measurable KPI на изменение поведения - возвращает на доработку."
"32","P3 SPECIALIZED","krea (subagent)","Agent","Creative direction, anti-median test.","Креативный бриф, mood board, photoshoot direction, ad concept, визуальный review.","Use krea to review <visual>","Если default LLM / агентство сгенерит то же = REJECT. Гейт для всего креатива."
"33","P3 SPECIALIZED","crisis-response (skill)","Skill","Engine под /crisis. Сценарное дерево + communication plan + escalation matrix L1-L5.","Любой Protocol 8 триггер.","Auto-invoke при /crisis","L5 = эскалация Богдану. Plan B готовится за 24 часа max."
"34","P4 META","/skill-atomize","Slash","Декомпозиция внешних skills + synthesis в v9 формат. Multi-agent: FENIX verdicts + DATA facts extraction + merge + FENIX iter-2.","CC-19 Reflexion monthly. Migration v8 skills → v9. Импорт chuck-skills.","/skill-atomize <path-to-v8-skill>","Reusable для monthly updates. Output = .claude/skills/<name>/SKILL.md + references/."
"35","P4 META","A2A wire format (Protocol 13)","Process","Все межагентные передачи валидируются schemas/a2a-message.json. Owner boris.","Когда агент пишет другому агенту (review_request, handoff, dispute).","Schema enforce automatic","Ручное составление JSON редко нужно, агенты сами формируют по schema."
"36","P4 META","Memory Tiering (Protocol 12)","Process","Приоритет конфликтов: Semantic > Procedural > Episodic > Working.","Любой конфликт «глоссарий vs episode» или «skill vs working memory».","Автоматический","Обновление Semantic (глоссарий, регламенты) требует FENIX approval. Working memory НЕ записывается."
"37","P4 META","Protocol 11 Model Routing","Process","Haiku: grep / ls / rename / простой fetch. Sonnet: контент / анализ / код (default). Opus: FENIX audit, Reality Audit, Council, Crisis, P15.","Автоматический выбор модели по классу задачи.","Автоматический","Если зовёшь opus на «найди файл» = P11 violation. Эскалация sonnet → opus при первом признаке сложности."
"38","P4 META","HITL gates (Protocol 6)","Process","Иван approval перед: финансы >500K ₽, публичные коммуникации, реклама >100K, цены >5%, найм / увольнение, запуск палитры / линии.","Любое касание трёх категорий: деньги, публика, кадры.","Блок до Иван approval","Попытка минуть гейт = автоматический stop. Восстановление через override."
"39","P4 META","Kill Criteria","Process","Авто-стоп при: FENIX score <5.0, RAG conflict >30%, прямое «СТОП» от Ивана.","Автоматическая защита от bad deliver.","Автоматический","Восстановление требует Иван override + log в knowledge/episodes/."
"40","P4 META","Episodic memory","Process","Решения, диспуты, Council, кейсы сохраняются в knowledge/episodes/YYYY-MM/. Передаются следующим сессиям через HANDOFF.","Любое значимое решение, дискуссия, аудит.","Manual write по конвенции","Working memory НЕ записывается. Только episodic + semantic + procedural."
"41","P4 META","Inter-Skill Feedback Loop (Protocol 15)","Process","Если FENIX 3 раза находит одну проблему в разных deliverables → автоматическое обновление source skill.","Эволюция skills по реальной practice. Запись в knowledge/reflexion/YYYY-MM.md.","Триггер на 3-й повтор","Без этого loop skills не учатся, FENIX находит одни и те же gaps снова."
"42","P4 META","Dispute Template","Process","Формат FENIX vs автор. Max 5 раундов, потом эскалация Ивану. ФЕНИКС не подчиняется СПАРТАК в диспуте.","Когда автор не согласен с verdict FENIX.","references/dispute-template.md","Если паттерн ошибки повторяется 3+ раз → обязательное обновление source skill (Inter-Skill Loop)."
"43","P4 META","Document-Type checklists (внутри phoenix-eval)","Hidden feature","4 типа дополнительных чек-листов: Strategy, КП, Landing, PPTX. Запускаются ПОСЛЕ 25 generic checkpoints.","Когда тип артефакта определён.","Auto после 25 generic","Скрытная фишка: можно использовать standalone без 25 generic (для quick sanity check)."
"44","P4 META","Pre-Score Block (внутри phoenix-eval)","Hidden feature","5 stress-test вопросов Q1-Q5: DATA PROOF, PESSIMISTIC, RESOURCE REALITY, BLIND SPOTS, INVESTOR QUESTION.","Перед формальным скорингом 25 checkpoints. Если автор не ответил на 3+ → score ≤7.0.","Auto в начале /feniks","Скрытная фишка: запускается standalone как «pre-flight check» без полного аудита. Экономит 30 минут."
"45","P4 META","/agent activate <name>","Hidden feature","Активация одного из 24 inactive v8 агентов (лежат в .claude/agents/archive/v8/).","Если активный ростер 12 не покрывает задачу.","/agent activate <name>","Требует обоснования через Protocol 9. Активация = постоянная, до явной деактивации."
"46","P4 META","Snapshot date convention","Hidden feature","Все динамичные данные (прайс, конкуренты, AI Citation Rate) помечаются датой snapshot. Возраст >90 дней = принудительный refresh.","Любая работа с динамичными цифрами.","Header references-файла","Без snapshot date FENIX Accuracy-2 = 0/2 (источники проверяемы)."
