id,неделя,слот,бренд,канал,формат,рубрика,идея,хук,цель,статус,ссылка,ответственный,ситуатив,картинка,текст,тип медиа,alt,дата публикации,доп ссылка
w25-fri-g,25,Пт,G,IG/VK,Reels,Каталог в кадре,CIPRIA Drop: 7 моделей за 30 секунд,«Весь дроп CIPRIA за 30 секунд. Держите»,охват,план,,SMM,нет,,"Весь дроп CIPRIA за 30 секунд. Держите.

Весна 2026. Палитра CIPRIA RAL 3015 - пудрово-розовый, отклонение dE не более 2 от эталона. 7 моделей.

EVELIX S, RAUNTEL L, KUVINO L - зеркала. TRUBIS S, TRUBIS Oval 160 - столы с каннелированными основаниями. ONIKS M - журнальный. VESHAL P - вешалка. Плюс Made-to-Order под ваши размеры.

Sold separately или как комплект - скидка 8-12%.

Полный каталог CIPRIA - в шапке профиля.

#GENGLASS #CIPRIA #QuietLuxury #drop2026 #зеркало #TRUBIS #пудровыйинтерьер

Сценарий (Reels, ~30сек):
0-2с: чёрный экран, надпись «CIPRIA Drop / Весна 2026 / 7 моделей». Пудрово-розовая плашка проявляется.
3-6с: EVELIX S в CIPRIA - фронтальный кадр, затем надпись «EVELIX S / зеркало 104x54».
7-9с: RAUNTEL L - боковой ракурс, надпись «RAUNTEL L / зеркало».
10-12с: KUVINO L - три четверти, надпись «KUVINO L / зеркало».
13-16с: TRUBIS S - стол, каннелированное основание крупным планом, надпись «TRUBIS S / стол».
17-19с: TRUBIS Oval 160 - овальная столешница, надпись «TRUBIS Oval 160».
20-22с: ONIKS M - журнальный стол, низкий ракурс, надпись «ONIKS M / журнальный».
23-25с: VESHAL P - вешалка у стены, надпись «VESHAL P / хранение».
26-28с: все 7 моделей вместе в одном кадре, широкий план, нейтральный бежевый фон.
29-30с: надпись «Made-to-Order тоже доступен / каталог в шапке» + логотип GENGLASS.
Текст на экране: «RAL 3015 / dE не более 2 / 7 моделей».
Аудио: ритмичный лёгкий ambient без слов, темп под смену кадров (примерно 2-3 сек на модель).
В кадре: все 7 моделей CIPRIA поочерёдно / палитра RAL 3015 пудрово-розовый / нейтральный бежевый фон / студийный рассеянный свет",video,"Линейка из 7 изделий в CIPRIA в ряд на нейтральном бежевом фоне, студийный свет",19.06.2026,
w25-sat-v,25,Сб,V,IG/VK,карусель,Нестандарт под объект,Стеклянная перегородка: рифлёное + латунный профиль,"«Перегородка, которую заказывают раз - потом никогда не меняют»",контакты,план,,SMM,нет,,"Перегородка, которую заказывают раз - потом никогда не меняют.

Рифлёное стекло в латунном профиле PVD patinated. Визуально делит пространство, акустически - частично. Свет при этом проходит.

Это не серийная позиция. Богдан делает такие конструкции под конкретный объект: высота, ширина, шаг рифля, тип профиля - всё под чертёж.

Работаете над объектом, где нужна перегородка под нестандартный проём? Напишите в личку - пришлём спеку, образцы стекла и металла.

#VALONTI #перегородка #рифлёноестекло #латунь #нестандарт #дизайнинтерьера #авторскаямебель

Сценарий (карусель, 6 слайдов):
Слайд 1: (надпись: «Нестандарт под объект / рифлёное стекло + латунь PVD») Обложка - готовая перегородка в интерьере, боковой свет через рифлёное стекло создаёт полосатую тень на полу.
Слайд 2: (надпись: «Рифлёное стекло: что это») Крупный план рифлей - поперечный профиль стекла. Текст: «Рифление рассеивает свет и создаёт тактильный рельеф. Толщина полотна 8-10 мм. Прозрачность - 60-70% от обычного стекла».
Слайд 3: (надпись: «Профиль: латунь PVD patinated») Разрез профиля - схема крепления стекла в пазу. Текст: «PVD patinated - тонированная латунь с тёплым антикварным тоном. Не требует ухода, не темнеет при контакте с влагой».
Слайд 4: (надпись: «Как проектируем под объект») Список этапов: 1) Чертёж проёма от дизайнера; 2) Подбор шага рифля под ширину полотна; 3) Согласование типа профиля; 4) Производство 15-30 рабочих дней; 5) Монтаж под ключ.
Слайд 5: (надпись: «Что влияет на конструкцию») Два кадра рядом: узкий шаг рифля (больше приватности) и широкий шаг (больше света). Текст: «Шаг рифля определяет баланс между светопроницаемостью и визуальной закрытостью».
Слайд 6: (надпись: «Спека + образцы - в личку») CTA на тёмном фоне. Логотип VALONTI. Текст: «Рифлёное стекло / латунь PVD patinated / под ваш проём».
В кадре: перегородка из рифлёного стекла в латунном профиле PVD patinated / боковой естественный свет сквозь рифли / средний план + крупный план профиля / реальный интерьер или студийная постановка",carousel,"Стеклянная перегородка из рифлёного стекла в латунном профиле, боковой свет через стекло",20.06.2026,
w26-mon-g,26,Пн,G,IG/VK,Reels,До/после,NERO: стена до - квартира после,«Стену не сносили. Просто поставили NERO»,охват,план,,SMM,нет,,"Стену не сносили. Просто поставили NERO.

До: 28 кв.м. без зонирования - кровать в метре от кухонного запаха и телевизора.
После: спальная зона отделена перегородкой NERO (RAL 9005, матовый муар). Монтаж - 1 рабочий день. Капитального ремонта - ноль.

Стекло затемнённое. Свет проходит, взгляды - нет.

Перегородку считаем за 30 минут. Ссылка в профиле - кликайте на «Калькулятор».

#genglass #перегородкаNERO #зонированиеквартиры #студия #лофтинтерьер #перегородкастекло #ремонтквартиры

Сценарий (Reels, ~30сек):
0-2с: чёрный экран, появляется надпись «До» белыми буквами. Резкий переход - камера влетает в типовую студию без зонирования, кровать стоит у холодильника.
3-7с: закадровый голос: «28 метров. Одна комната. Ноль уединения.» Камера медленно обходит пространство по кругу.
8-14с: надпись «После» - быстрый монтажный переход, та же комната, перегородка NERO стоит. Чёрный муаровый металл крупным планом.
15-22с: девушка садится на кровать, за перегородкой кухня размыта. Свет рассеивается через затемнённое стекло. Камера фиксирует текстуру металла - муаровое переливание.
23-28с: стоп-кадр с надписью «1 день монтажа. RAL 9005. Склад Домодедово». Логотип GENGLASS. Стрелка вниз «Калькулятор в профиле».
Аудио: атмосферный low-fi бит без вокала, нарастающий к финалу.
В кадре: перегородка NERO RAL 9005 матовый муар / затемнённое стекло / студия ~28 кв.м. / монтажный план / боковой рассеянный свет",video,"Перегородка NERO RAL 9005 муар в студии, вид до и после",22.06.2026,
w26-tue-v,26,Вт,V,IG/VK,Reels макро,Материал крупно,Nero Marquina: прожилка под светом,«Прожилка не рисуется. Она растёт в камне миллионы лет»,охват целевой,план,,SMM,нет,,"Прожилка не рисуется. Она растёт в камне миллионы лет.

Nero Marquina. Испанский чёрный мрамор с характерной белой кальцитовой сетью. Каждая плита - своя карта прожилок. Два изделия из одной партии никогда не будут идентичны.

Богдан работает с полированной поверхностью и honed-финишем: полировка даёт глубину и отражение, honed убирает блеск и делает поверхность тактильной.

Запросите образец в личку. Пришлём фото актуальной партии с размерами прожилок.

#valonti #NeroMarquina #камень #мрамор #авторскаямебель #bogdan #интерьердизайн #stonedesign

Сценарий (Reels, ~20сек):
0-3с: тёмный экран, появляется торец плиты Nero Marquina - крупный план. Камера начинает медленно ехать вдоль поверхности.
4-10с: макро-режим на прожилку - белая линия прочерчивает чёрный фон. Текст на экране: «Nero Marquina. Полировка или honed.» Боковой направленный свет выявляет текстуру.
11-16с: камера отъезжает - видно готовое изделие (столешница или консоль) на металлической латунной опоре. Свет сверху создаёт тень от прожилок.
17-20с: стоп-кадр, надпись «Образец - в личку» и логотип VALONTI. Финальный кадр в тишине, только звук касания камня.
Аудио: тишина с лёгким реверберирующим звуком - один удар по камню на старте, затем ambient-фон.
В кадре: Nero Marquina полированная плита / крупный план прожилок / боковой направленный свет / латунная опора / нейтральный тёмный фон",video,"Макро Nero Marquina - белая прожилка на чёрном фоне, боковой свет",23.06.2026,
w26-wed-g,26,Ср,G,IG/VK,карусель,Сколько стоит на самом деле,Зеркало с LED: что входит в цену,«Цена зеркала - это не цена зеркала»,сохранения,план,,SMM,нет,,"Цена зеркала - это не цена зеркала.

Люди видят итоговую сумму и не понимают, из чего она. Разложили на части - смотрите карусель.

Зеркало EVELIX S (104x54 см, LED 3000K, сенсор) в палитре ORO. Сроки: 7-12 рабочих дней со склада Домодедово.

Если нужно зеркало в другой размер или палитру - пишите. Считаем за 30 минут.

#genglass #зеркалоLED #EVELIX #зеркалодлягардероба #зеркалодляванной #ORO #genglass_зеркала #интерьер2026

Сценарий (карусель, 6 слайдов):
Слайд 1: тёмный фон, зеркало EVELIX S в палитре ORO во весь кадр. Надпись крупно: «Из чего цена зеркала с подсветкой?» Подпись мелко: «Листайте - разложили по статьям».
Слайд 2: иконка «Стекло» + надпись «Осветлённое, толщина 4 мм. Обрезка по размеру ТЗ. Полировка торца». Справа - фото торца зеркала крупно.
Слайд 3: иконка «Рама» + надпись «Профиль в палитре ORO (BS002, золотой муар). Порошковая покраска, запечённая при 180°C». Справа - крупный план угла рамы с муаровым переходом.
Слайд 4: иконка «LED-система» + надпись «Лента 3000К по периметру. Сенсорный выключатель. Блок питания встроен». Справа - фото включённой подсветки, мягкий тёплый контур.
Слайд 5: иконка «Склад и срок» + надпись «Стандарт EVELIX S - в наличии Домодедово. LED-версия: 7-12 рабочих дней. Доставка по Москве - 1 день». Справа - фото склада или коробки.
Слайд 6: белый фон, зеркало EVELIX S отражает интерьер гардеробной. Надпись: «Итого: сумма складывается из стекла + рамы + LED + сборки + упаковки. Не из маркетинга». CTA: «Рассчитайте свой вариант - ссылка в профиле».
В кадре: зеркало EVELIX S / палитра ORO BS002 / LED 3000K сенсор / крупные планы торца и рамы / нейтральный светлый фон",carousel,"Зеркало EVELIX S с LED подсветкой 3000K, анатомия цены",24.06.2026,
w26-thu-v,26,Чт,V,IG/VK,длинное,Рождение изделия,Богдан: от эскиза до латунной опоры,"«Богдан рисует деталь прежде, чем выбирает камень»",доверие,план,,Богдан,нет,,"Богдан рисует деталь прежде, чем выбирает камень.

Люди думают: сначала выбираем материал, потом форму. Нет. Сначала - задача: какой свет падает на изделие, как к нему подходят, что стоит рядом. Форма вытекает из этого. Камень - последним.

Travertino Navona в этом изделии выбран за тёплый кремовый фон - он работает с латунью PVD brushed без конкуренции за внимание. Каждый тянет в свою сторону, но вместе - одно направление.

Металлическая опора сварена и отшлифована вручную. Соединение с камнем - без клея на виду.

Это один предмет, он не выйдет в тираж. Запросите спеку или образец в личку.

#valonti #bogdan #travertino #латунь #авторскаяработа #камень #интерьеристам #designersonly

Сценарий (Reels, ~45сек):
0-4с: руки Богдана над листом бумаги - простой карандашный набросок опоры. Тихий звук карандаша. Камера сверху.
5-12с: монтажная склейка - рука кладёт на стол образец Travertino Navona рядом с латунной деталью PVD brushed. Камера медленно объезжает по дуге. Голос Богдана за кадром: «Камень выбираю последним. Сначала понимаю, как свет падает на угол».
13-22с: процесс шлифовки металлической опоры крупным планом. Искры не нужны - показываем финишный этап, движения руки с шлифовальным блоком. Фактура металла меняется от грубой к матовой.
23-34с: плита Travertino Navona на монтажном столе. Богдан проводит пальцем по поверхности, показывает тёплую фактуру травертина. Камера фиксирует поры камня - макро.
35-42с: готовое изделие в студийном свете. Латунная опора снизу, столешница Travertino Navona сверху. Камера обходит вокруг. Свет боковой, жёсткий.
43-45с: финальный кадр - изделие, логотип VALONTI внизу. Надпись: «Образец и спека - в личку».
Аудио: живой звук мастерской - карандаш, металл, тишина; без музыки или минимальный ambient.
В кадре: Богдан / эскиз / Travertino Navona / латунь PVD brushed / студийный боковой свет / детали соединения",video,"Богдан за чертежом, рядом плита Travertino Navona и латунная опора",25.06.2026,
w26-fri-g,26,Пт,G,IG/VK,Reels,ASMR-процесс,Покраска рамы: порошок ложится на металл,«Слышите? Это RAL 9005 ложится на профиль»,охват,план,,SMM,нет,,"Слышите? Это RAL 9005 ложится на профиль.

Порошковая покраска без наушников. Производство в Домодедово, 16 000 м². Металлический профиль проходит дробеструйку, грунт, порошок, печь при 200°C. Выходит с маркировкой RAL 9005 - матовый муар.

Эта рама станет зеркалом RAUNTEL или частью перегородки. 1-3 рабочих дня с момента запуска в работу.

Цех снимаем для вас каждую пятницу. Подпишитесь - следующий ролик через неделю.

#genglass #производство #порошковаяокраска #RAL9005 #NERO #лофт #металл #генгласс

Сценарий (Reels, ~25сек):
0-3с: цеховой шум обрывается - тишина. Камера наезжает на металлический профиль, подвешенный в линии покраски. Надпись: «RAL 9005. Домодедово».
4-10с: ASMR: звук порошковой пушки - шипение и тихое хлопанье частиц. Камера крупно снимает, как слой порошка оседает на профиль. Фактура меняется на глазах - от блестящей металлической к матовой чёрной.
11-18с: металлический профиль въезжает в печь. Звук закрывающейся двери. Таймлапс или монтажный скачок - 200 секунд в 4 секунды экранного времени. Дверь открывается.
19-23с: профиль выходит из печи. Крупный план муарового отражения на матовой поверхности. Звук: лёгкое постукивание пальцем по горячему металлу.
24-25с: финальный кадр - готовая деталь, надпись «1-3 дня со склада. NERO RAL 9005». Логотип GENGLASS.
Аудио: ASMR - реальные звуки цеха без музыки. Пушка, печь, металл. Финал - тишина.
В кадре: профиль NERO RAL 9005 / цех Домодедово / порошковая линия / крупный план текстуры муар / промышленный свет",video,"Порошковая покраска профиля NERO RAL 9005 в цеху Домодедово, крупный план",26.06.2026,
w26-sat-v,26,Сб,V,IG/VK,карусель,"Деталь, которую не видит заказчик",Скрытый монтаж: что за поверхностью камня,«За этой плоскостью - 4 часа работы. Не видно»,контакты,план,,SMM,нет,,"За этой плоскостью - 4 часа работы. Не видно.

Заказчик видит поверхность Onyx Miele с backlit-подсветкой. Не видит: армирование сетки под камень, просветные проставки для равномерной подсветки, кабель-менеджмент внутри опоры из патинированной стали.

Показываем изнанку. Потому что дизайнер должен это знать - для ТЗ, для согласования с заказчиком и для монтажника.

Если проектируете объект с камнем под подсветку - запросите техническую спеку в личку. Пришлём раскладку с допусками.

#valonti #onyxmiele #backlit #камень #архитектурноестекло #дизайнеринтерьера #авторскаямебель #детали

Сценарий (карусель, 7 слайдов):
Слайд 1: тёмный фон. Готовая барная стойка из Onyx Miele с включённой backlit-подсветкой - мёд светится изнутри. Надпись: «Что внутри? Листайте».
Слайд 2: фото изнаночной стороны столешницы до установки. Металлическая армировочная сетка, приклеенная к камню. Надпись: «1. Армирование. Onyx хрупок - сетка держит плиту при монтаже и перепадах температур».
Слайд 3: крупный план проставок - прозрачные акриловые прокладки между камнем и основанием. Надпись: «2. Равномерный зазор 12 мм. Без него подсветка даёт пятна, а не свечение».
Слайд 4: кабель-менеджмент внутри металлической опоры из патинированной стали - скрытый канал для провода. Надпись: «3. Провод не видит никто. Канал в теле опоры».
Слайд 5: фото LED-ленты, уложенной по периметру под камень. Надпись: «4. Температура LED подобрана под медовый тон Onyx Miele - 2700K. Иначе оникс желтит».
Слайд 6: монтаж - стол переворачивается и устанавливается на место. Два человека. Надпись: «5. Установка - 2 мастера, 3 часа. Подключение - отдельный кабель 220В».
Слайд 7: готовый результат - барная стойка в тёмном интерьере, backlit включён. Надпись: «Спека и допуски для ТЗ - в личку. VALONTI».
В кадре: Onyx Miele / backlit подсветка 2700K / патинированная сталь / крупные планы крепежа / нейтральный фон мастерской",carousel,"Изнанка каменной столешницы VALONTI - крепёж и усиление, до установки",27.06.2026,
w27-mon-g,27,Пн,G,IG/VK,Reels,До/после,CIPRIA: гардеробная до и после Drop,«Гардеробная стала другой. Покраску не делали»,охват,план,,SMM,нет,,"Гардеробная стала другой. Покраску не делали.

До: зеркало в белой раме, нейтральный стеллаж, всё работает - но нет характера.
После: зеркало EVELIX S в палитре CIPRIA (RAL 3015, пудрово-розовый, dE≤2). Стеллаж VESHAL P в той же палитре. Шторки из тканей тёплого тона подбираются в последнюю очередь.

CIPRIA - Drop весна 2026, Quiet Luxury. 7 моделей в одной палитре: зеркала, столы и вешалки. Комплект со скидкой 10%.

Сроки: MTO зеркала 5-10 рабочих дней. Стеллаж 20-30 рабочих дней.

Собрать свой комплект - ссылка в профиле.

#genglass #CIPRIA #evelix #гардеробная #quietluxury #пудровыйрозовый #зеркало #интерьер2026

Сценарий (Reels, ~35сек):
0-3с: тихий звук открывающейся двери гардеробной. Камера входит - видна нейтральная белая гардеробная без акцентов. Надпись «До».
4-9с: голос за кадром: «Всё работает. Только характера ноль». Камера медленно объезжает стеллаж и белое зеркало в стандартной раме.
10-18с: монтажный переход - растворение в розовом. Камера появляется снова в той же гардеробной: зеркало EVELIX S в раме CIPRIA RAL 3015 на стене, рядом стеллаж VESHAL P в той же палитре. Надпись «После».
19-26с: камера делает три крупных плана: 1) угол рамы CIPRIA - муаровый розовый; 2) полка стеллажа с аксессуарами; 3) отражение в зеркале EVELIX - вся гардеробная видна целиком.
27-33с: стоп-кадр, надпись: «CIPRIA Drop 2026. 7 моделей. Комплект -10%. 5-10 раб. дней». Логотип GENGLASS.
34-35с: белый кадр-хвост. Надпись: «Собрать комплект - ссылка в профиле».
Аудио: спокойный soft-pop инструментал без вокала, нарастающий в середине.
В кадре: зеркало EVELIX S / палитра CIPRIA RAL 3015 / стеллаж VESHAL P / гардеробная / боковой тёплый свет / ракурс с порога",video,"Зеркало EVELIX S в палитре CIPRIA RAL 3015 в гардеробной, вид до/после",29.06.2026,
w27-tue-v,27,Вт,V,IG/VK,Reels макро,Материал крупно,Onyx Miele: свет изнутри,«Это не подсвечено снаружи. Свет идёт насквозь»,охват целевой,план,,SMM,нет,,"Это не подсвечено снаружи. Свет идёт насквозь.

Onyx Miele - медовый оникс, полупрозрачный. Толщина плиты 20 мм. При backlit-подсветке камень начинает светиться изнутри - прожилки проявляются как негатив.

Работаем с двумя финишами: полированный даёт отражение поверхности, honed убирает блеск и усиливает эффект подсветки.

Материал под конкретный проект - запросите образец с указанием толщины и отделки в личку.

#valonti #onyxmiele #backlit #оникс #камень #bogdan #материалдляинтерьера #lighting

Сценарий (Reels, ~22сек):
0-4с: полная темнота в кадре. Медленно начинает проступать свечение - медовый цвет Onyx Miele с включённой backlit-подсветкой. Нет других источников света.
5-12с: камера приближается к поверхности - крупный план. Прожилки оникса проявляются в свете как тонкая карта: белые и оранжевые нити на медовом фоне. Камера медленно скользит вдоль поверхности.
13-18с: камера отходит - видна плита 20 мм в металлической рамке из патинированной стали. Богдан кладёт руку рядом с плитой - масштаб. Проводит пальцем по honed-поверхности.
19-21с: backlit выключается - камень гаснет. Пауза. Снова включается.
22с: финальный кадр, надпись «Onyx Miele. Backlit. Образец - в личку». Логотип VALONTI.
Аудио: полная тишина, только лёгкое гудение LED в начале. Финал - один мягкий удар по камню.
В кадре: Onyx Miele 20 мм honed / backlit подсветка / патинированная сталь рамка / рука Богдана для масштаба / полная темнота фон",video,"Onyx Miele с backlit - медовое свечение сквозь камень, макро-съёмка",30.06.2026,
w27-wed-g,27,Ср,G,IG/VK,карусель,Этот VS тот,"NERO vs BIANCO: один стол, два характера",«Один стол. Две рамы. Две разные квартиры»,сохранения,план,,SMM,нет,,"Один стол. Две рамы. Две разные квартиры.

TRUBIS L100 - обеденный стол 100x100 см, вертикальные каннелированные основания. Производство из порошкованой стали. Разница между NERO и BIANCO не в конструкции - в характере пространства.

Сохраните - когда будете выбирать палитру, сравнение уже будет под рукой.

Сроки производства одинаковые: 10-15 рабочих дней. Обе палитры в стандартных позициях.

#genglass #TRUBIS #NERO #BIANCO #обеденныйстол #столлофт #скандинавский #палитра

Сценарий (карусель, 6 слайдов):
Слайд 1: стол TRUBIS L100 разделён по центру - левая половина кадра NERO RAL 9005, правая BIANCO RAL 9003. Надпись: «Один стол. Две палитры. Листайте».
Слайд 2: TRUBIS L100 NERO в лофтовом интерьере - тёмные стены, бетонный пол, металлические светильники. Надпись: «NERO. RAL 9005. Матовый муар. Лофт, кабинет, тёмный интерьер». Данные: «100x100x75 см. 10-15 раб. дней».
Слайд 3: крупный план основания NERO - каннелюры на матовом чёрном профиле. Свет рисует тени в вертикальных желобках.
Слайд 4: TRUBIS L100 BIANCO в светлом скандинавском интерьере - белые стены, дерево, льняной текстиль. Надпись: «BIANCO. RAL 9003. Матовый белый. Скандинав, минимализм, светлая кухня». Данные: «100x100x75 см. В наличии склад Домодедово».
Слайд 5: крупный план основания BIANCO - те же каннелюры, другой свет. Светлая поверхность рассеивает, а не поглощает.
Слайд 6: оба стола рядом, вид сверху - столешницы одинаковые, основания разные. Надпись: «Какую палитру выбрать - зависит от стен. Напишите нам фото комнаты - скажем честно». CTA: «Ссылка в профиле - калькулятор».
В кадре: TRUBIS L100 / NERO RAL 9005 / BIANCO RAL 9003 / каннелированные основания / фронтальный свет + боковые тени",carousel,"Стол TRUBIS L100 в NERO и BIANCO рядом, фронтальный вид",01.07.2026,
w27-thu-v,27,Чт,V,IG/VK,длинное,Авторский разбор от Богдана,Богдан: почему латунь а не сталь,«Богдан выбирает латунь не за цвет. За поведение во времени»,доверие,план,,Богдан,нет,,"Богдан выбирает латунь не за цвет. За поведение во времени.

Патинированная сталь через 5 лет выглядит так же, как сейчас - стабильно, предсказуемо. Латунь PVD brushed меняется там, где её касаются больше всего: рёбра светлеют, внутренние плоскости темнеют. Изделие приобретает биографию.

Ни один вариант не лучше. Вопрос - какой характер нужен объекту. Богдан задаёт этот вопрос на первой встрече с дизайнером.

Если работаете над объектом с металлическими деталями - запросите образцы обоих материалов в личку. Пришлём с описанием поведения через 1, 3, 5 лет.

#valonti #bogdan #латунь #pvd #патина #авторскийдизайн #металлвинтерьере #designersonly

Сценарий (Reels, ~50сек):
0-5с: Богдан в мастерской. На столе перед ним - две детали одинаковой формы: слева латунь PVD brushed, справа патинированная сталь. Камера наезжает сверху. Голос Богдана: «Разница не в цвете».
6-18с: крупный план латуни PVD brushed. Богдан проводит большим пальцем по ребру - показывает, где материал будет изнашиваться. Голос: «Здесь через год будет светлее. Здесь, внутри, темнее. Это не брак. Это патина». Камера фиксирует текстуру brushed - горизонтальные риски.
19-32с: крупный план патинированной стали. Богдан: «Сталь не меняется. Я выбираю её для объектов, где важна стабильность. Где много людей, где хотят контроля». Камера на фактуру - тёмно-коричневый матовый тон.
33-43с: оба материала рядом в кадре. Богдан: «Латунь - для частного дома, для кабинета, для спальни. Она живёт вместе с хозяином». Он поднимает оба образца, держит на уровне глаз.
44-48с: Богдан кладёт образцы на стол. Тишина. Камера уходит на детали.
49-50с: финальный кадр, надпись «Образцы - в личку. VALONTI». Логотип.
Аудио: живой звук мастерской. Голос Богдана - основной. Никакой музыки.
В кадре: Богдан / латунь PVD brushed / патинированная сталь / столешница мастерской / боковой жёсткий свет / крупные планы текстур",video,"Богдан держит деталь из латуни PVD brushed и патинированной стали, сравнение",02.07.2026,
w27-fri-g,27,Пт,G,IG/VK,Reels,Каталог в кадре,"ORO: три зеркала, одна палитра",«ORO. Три модели. Снимаем прямо со склада»,охват,план,,SMM,нет,,"ORO. Три модели. Снимаем прямо со склада.

Палитра ORO (BS002, золотой муар) с 2019 года. Хит среди зеркал - сочетается с мрамором и латунью без перегруза.

В кадре: EVELIX S (104x54 см), RAUNTEL L и KUVINO L. Все три в наличии на складе Домодедово. Отгрузка 1-3 рабочих дня.

Сравниваем форматы: EVELIX - горизонт для гардеробной, RAUNTEL - вытянутый вертикаль для прихожей, KUVINO - мягкий овал там, где не нужны углы.

Заказать или уточнить наличие - ссылка в профиле.

#genglass #ORO #EVELIX #RAUNTEL #KUVINO #золотоезеркало #зеркалодляприхожей #genglass_зеркала

Сценарий (Reels, ~30сек):
0-3с: склад GENGLASS, Домодедово. Камера едет вдоль ряда упаковок. Надпись: «Склад. Прямо сейчас».
4-9с: открывается упаковка EVELIX S - зеркало достают, ставят на подставку. Свет со склада, без постановки. Надпись: «EVELIX S. 104x54 см. ORO BS002».
10-16с: RAUNTEL L в кадре рядом. Камера снимает оба зеркала - сравнение пропорций. Надпись: «RAUNTEL L. Вертикаль для прихожей».
17-23с: KUVINO L ставится третьим. Камера делает дугу вокруг трёх зеркал - ORO переливается при движении. Надпись: «KUVINO L. Овал. ORO. Все три - в наличии».
24-28с: крупный план угла рамы RAUNTEL - муаровый золотой отблеск. Текст: «Отгрузка 1-3 рабочих дня».
29-30с: финальный кадр - три зеркала рядом. «Уточнить наличие - ссылка в профиле». Логотип GENGLASS.
Аудио: лёгкий фоновый warehouse-атмосфера, без музыки. Звук упаковки при распаковке.
В кадре: склад Домодедово / зеркала EVELIX S + RAUNTEL L + KUVINO L / палитра ORO BS002 / складской свет / ракурс сбоку и фронтально",video,"Три зеркала GENGLASS в палитре ORO BS002 на складе Домодедово, фронтальный свет",03.07.2026,
w27-sat-v,27,Сб,V,IG/VK,карусель,Нестандарт под объект,Ресепшн из Nero Marquina: нестандартный размер,«Стандартных плит для этого проекта не было. Заказали»,контакты,план,,SMM,нет,,"Стандартных плит для этого проекта не было. Заказали.

Ресепшн 3 600 мм в длину. Nero Marquina полированный. Дизайнер хотел одну непрерывную прожилку по всей фронтальной поверхности - без стыков.

Плиты подбирали по рисунку из одной партии. Стыки - там, где прожилка «перетекает» с одной плиты на другую. Визуально - монолит.

Металлическая основа из стали matte black PVD. Кабель-канал для подсветки стойки встроен в тело конструкции.

Если у вас нестандартный объект - опишите задачу в личку. Пришлём предварительную раскладку с размерами и описанием технического решения.

#valonti #NeroMarquina #ресепшн #нестандарт #камень #matte_black #bogdan #дизайнотеля

Сценарий (карусель, 7 слайдов):
Слайд 1: фронтальный вид готового ресепшна из Nero Marquina - 3 600 мм в длину, полированная поверхность отражает пространство. Надпись: «3 600 мм. Один рисунок прожилки. Листайте - покажем как».
Слайд 2: фото плит Nero Marquina на монтажном столе - три секции рядом. Прожилка совмещена вручную. Надпись: «Плиты подобраны из одной партии. Прожилка ""перетекает"" без разрыва».
Слайд 3: крупный план стыка двух плит - линия шва почти не видна, прожилка продолжается. Надпись: «Шов 1,5 мм. Затирка тон в тон с прожилкой».
Слайд 4: металлическое основание конструкции - сталь matte black PVD до облицовки. Встроенный кабель-канал для подсветки. Надпись: «Основа: сталь PVD matte black. Кабель-канал внутри».
Слайд 5: монтаж - плиты Nero Marquina устанавливаются на основание. Два мастера, система крепления показана крупно. Надпись: «Монтаж: крепёж на скрытых анкерах + эпоксид. Без видимых саморезов».
Слайд 6: вид со стороны клиента - полированный Nero Marquina отражает потолочный свет. Надпись: «Полировка. Глубина отражения зависит от угла падения света».
Слайд 7: финальный кадр с логотипом VALONTI. Надпись: «Нестандартный объект - опишите задачу в личку. Пришлём раскладку и ТЗ».
В кадре: Nero Marquina полированный / ресепшн 3 600 мм / сталь matte black PVD / стык плит крупно / монтажный процесс / профессиональный белый свет",carousel,Ресепшн из Nero Marquina нестандартного размера - вид со стороны клиента и монтажника,04.07.2026,
