GENGROUP · План по мотивации и приоритетам (после ФЕНИКС-аудита 6.8/10- вердикт доработать)
Каркас к встрече. Жёлтое = вписать на созвоне: Ответственный, Срок, Статус, Решение.
№,Блок,Задача,Ответственный,Срок,Статус,Комментарий / решение
БЛОК 6 · Упаковать план и раздать задачи,,,,,,
35,6. План и задачи,Собрать все условия и гарантии в единый документ - до конца недели,,,Не начато,
36,6. План и задачи,Сделать презентацию для дизайнеров по новым условиям,,,Не начато,Богдан давно просит
37,6. План и задачи,Раздать задачи: Софья / Марина / Юля / Шура,,,Не начато,
38,6. План и задачи,Оля: контент-план под новые условия и приоритеты,,,Не начато,
39,6. План и задачи,Назначить день еженедельной проверки статусов,,,Не начато,
БЛОК 7 · Приоритеты: новинки и реклама,,,,,,
40,7. Приоритеты,Новинки в опте: закрепить приоритеты с Виталиком и Надей (список + сроки ввода),,,В работе,Приоритеты озвучены Богданом на утренней встрече
41,7. Приоритеты,Реклама: сначала качество лидов- потом бюджет - задать метрику качества и ответственного,,,К обсуждению,
Как заполнять: жёлтые ячейки заполняем на встрече. Все цифры - гипотезы из голосовых Богдана и Ивана 10.07.2026- не данные. План прошёл ФЕНИКС-аудит (6.8/10- доработать)- три места ждут реальных цифр: маржа- run-rate под 15 млн- итог пилота.
